-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 10/01/2011 through 09/30/2018 
Location: Latitude  71.2905   Longitude -156.788 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 3.58 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN SRB/FLASHFlux 1/2x1/2 All Sky Insolation Incident on a Horizontal Surface (kW-hr/m^2/day) 
-END HEADER-
LAT,LON,YEAR,MO,DY,ALLSKY_SFC_SW_DWN
71.29051,-156.78799,2011,10,01,              1.31
71.29051,-156.78799,2011,10,02,              1.11
71.29051,-156.78799,2011,10,03,              0.69
71.29051,-156.78799,2011,10,04,              0.67
71.29051,-156.78799,2011,10,05,              0.95
71.29051,-156.78799,2011,10,06,              0.63
71.29051,-156.78799,2011,10,07,              0.65
71.29051,-156.78799,2011,10,08,              0.70
71.29051,-156.78799,2011,10,09,              0.78
71.29051,-156.78799,2011,10,10,              0.64
71.29051,-156.78799,2011,10,11,              0.72
71.29051,-156.78799,2011,10,12,              0.59
71.29051,-156.78799,2011,10,13,              0.55
71.29051,-156.78799,2011,10,14,              0.40
71.29051,-156.78799,2011,10,15,              0.42
71.29051,-156.78799,2011,10,16,              0.33
71.29051,-156.78799,2011,10,17,              0.32
71.29051,-156.78799,2011,10,18,              0.22
71.29051,-156.78799,2011,10,19,              0.23
71.29051,-156.78799,2011,10,20,              0.27
71.29051,-156.78799,2011,10,21,              0.20
71.29051,-156.78799,2011,10,22,              0.21
71.29051,-156.78799,2011,10,23,              0.17
71.29051,-156.78799,2011,10,24,              0.19
71.29051,-156.78799,2011,10,25,              0.17
71.29051,-156.78799,2011,10,26,              0.16
71.29051,-156.78799,2011,10,27,              0.13
71.29051,-156.78799,2011,10,28,              0.12
71.29051,-156.78799,2011,10,29,              0.16
71.29051,-156.78799,2011,10,30,              0.10
71.29051,-156.78799,2011,10,31,              0.09
71.29051,-156.78799,2011,11,01,              0.07
71.29051,-156.78799,2011,11,02,              0.05
71.29051,-156.78799,2011,11,03,              0.05
71.29051,-156.78799,2011,11,04,-999
71.29051,-156.78799,2011,11,05,-999
71.29051,-156.78799,2011,11,06,-999
71.29051,-156.78799,2011,11,07,-999
71.29051,-156.78799,2011,11,08,-999
71.29051,-156.78799,2011,11,09,-999
71.29051,-156.78799,2011,11,10,-999
71.29051,-156.78799,2011,11,11,-999
71.29051,-156.78799,2011,11,12,-999
71.29051,-156.78799,2011,11,13,-999
71.29051,-156.78799,2011,11,14,-999
71.29051,-156.78799,2011,11,15,-999
71.29051,-156.78799,2011,11,16,-999
71.29051,-156.78799,2011,11,17,-999
71.29051,-156.78799,2011,11,18,-999
71.29051,-156.78799,2011,11,19,-999
71.29051,-156.78799,2011,11,20,-999
71.29051,-156.78799,2011,11,21,-999
71.29051,-156.78799,2011,11,22,-999
71.29051,-156.78799,2011,11,23,-999
71.29051,-156.78799,2011,11,24,-999
71.29051,-156.78799,2011,11,25,-999
71.29051,-156.78799,2011,11,26,-999
71.29051,-156.78799,2011,11,27,-999
71.29051,-156.78799,2011,11,28,-999
71.29051,-156.78799,2011,11,29,-999
71.29051,-156.78799,2011,11,30,-999
71.29051,-156.78799,2011,12,01,-999
71.29051,-156.78799,2011,12,02,-999
71.29051,-156.78799,2011,12,03,-999
71.29051,-156.78799,2011,12,04,-999
71.29051,-156.78799,2011,12,05,-999
71.29051,-156.78799,2011,12,06,-999
71.29051,-156.78799,2011,12,07,-999
71.29051,-156.78799,2011,12,08,-999
71.29051,-156.78799,2011,12,09,-999
71.29051,-156.78799,2011,12,10,-999
71.29051,-156.78799,2011,12,11,-999
71.29051,-156.78799,2011,12,12,-999
71.29051,-156.78799,2011,12,13,-999
71.29051,-156.78799,2011,12,14,-999
71.29051,-156.78799,2011,12,15,-999
71.29051,-156.78799,2011,12,16,-999
71.29051,-156.78799,2011,12,17,-999
71.29051,-156.78799,2011,12,18,-999
71.29051,-156.78799,2011,12,19,-999
71.29051,-156.78799,2011,12,20,-999
71.29051,-156.78799,2011,12,21,-999
71.29051,-156.78799,2011,12,22,-999
71.29051,-156.78799,2011,12,23,-999
71.29051,-156.78799,2011,12,24,-999
71.29051,-156.78799,2011,12,25,-999
71.29051,-156.78799,2011,12,26,-999
71.29051,-156.78799,2011,12,27,-999
71.29051,-156.78799,2011,12,28,-999
71.29051,-156.78799,2011,12,29,-999
71.29051,-156.78799,2011,12,30,-999
71.29051,-156.78799,2011,12,31,-999
71.29051,-156.78799,2012,01,01,-999
71.29051,-156.78799,2012,01,02,-999
71.29051,-156.78799,2012,01,03,-999
71.29051,-156.78799,2012,01,04,-999
71.29051,-156.78799,2012,01,05,-999
71.29051,-156.78799,2012,01,06,-999
71.29051,-156.78799,2012,01,07,-999
71.29051,-156.78799,2012,01,08,-999
71.29051,-156.78799,2012,01,09,-999
71.29051,-156.78799,2012,01,10,-999
71.29051,-156.78799,2012,01,11,-999
71.29051,-156.78799,2012,01,12,-999
71.29051,-156.78799,2012,01,13,-999
71.29051,-156.78799,2012,01,14,-999
71.29051,-156.78799,2012,01,15,-999
71.29051,-156.78799,2012,01,16,-999
71.29051,-156.78799,2012,01,17,-999
71.29051,-156.78799,2012,01,18,-999
71.29051,-156.78799,2012,01,19,-999
71.29051,-156.78799,2012,01,20,-999
71.29051,-156.78799,2012,01,21,-999
71.29051,-156.78799,2012,01,22,-999
71.29051,-156.78799,2012,01,23,-999
71.29051,-156.78799,2012,01,24,-999
71.29051,-156.78799,2012,01,25,-999
71.29051,-156.78799,2012,01,26,-999
71.29051,-156.78799,2012,01,27,-999
71.29051,-156.78799,2012,01,28,-999
71.29051,-156.78799,2012,01,29,-999
71.29051,-156.78799,2012,01,30,-999
71.29051,-156.78799,2012,01,31,-999
71.29051,-156.78799,2012,02,01,-999
71.29051,-156.78799,2012,02,02,-999
71.29051,-156.78799,2012,02,03,-999
71.29051,-156.78799,2012,02,04,-999
71.29051,-156.78799,2012,02,05,-999
71.29051,-156.78799,2012,02,06,-999
71.29051,-156.78799,2012,02,07,              0.01
71.29051,-156.78799,2012,02,08,              0.04
71.29051,-156.78799,2012,02,09,              0.01
71.29051,-156.78799,2012,02,10,              0.09
71.29051,-156.78799,2012,02,11,              0.10
71.29051,-156.78799,2012,02,12,              0.14
71.29051,-156.78799,2012,02,13,              0.13
71.29051,-156.78799,2012,02,14,              0.19
71.29051,-156.78799,2012,02,15,              0.20
71.29051,-156.78799,2012,02,16,              0.18
71.29051,-156.78799,2012,02,17,              0.13
71.29051,-156.78799,2012,02,18,              0.30
71.29051,-156.78799,2012,02,19,              0.36
71.29051,-156.78799,2012,02,20,              0.34
71.29051,-156.78799,2012,02,21,              0.40
71.29051,-156.78799,2012,02,22,              0.45
71.29051,-156.78799,2012,02,23,              0.40
71.29051,-156.78799,2012,02,24,              0.46
71.29051,-156.78799,2012,02,25,              0.41
71.29051,-156.78799,2012,02,26,              0.64
71.29051,-156.78799,2012,02,27,              0.62
71.29051,-156.78799,2012,02,28,              0.80
71.29051,-156.78799,2012,02,29,              0.61
71.29051,-156.78799,2012,03,01,              0.71
71.29051,-156.78799,2012,03,02,              0.91
71.29051,-156.78799,2012,03,03,              0.78
71.29051,-156.78799,2012,03,04,              0.97
71.29051,-156.78799,2012,03,05,              1.08
71.29051,-156.78799,2012,03,06,              1.21
71.29051,-156.78799,2012,03,07,              1.13
71.29051,-156.78799,2012,03,08,              1.36
71.29051,-156.78799,2012,03,09,              1.39
71.29051,-156.78799,2012,03,10,              1.16
71.29051,-156.78799,2012,03,11,              1.31
71.29051,-156.78799,2012,03,12,              1.32
71.29051,-156.78799,2012,03,13,              1.48
71.29051,-156.78799,2012,03,14,              1.80
71.29051,-156.78799,2012,03,15,              1.74
71.29051,-156.78799,2012,03,16,              2.00
71.29051,-156.78799,2012,03,17,              1.95
71.29051,-156.78799,2012,03,18,              2.06
71.29051,-156.78799,2012,03,19,              2.15
71.29051,-156.78799,2012,03,20,              2.14
71.29051,-156.78799,2012,03,21,              2.33
71.29051,-156.78799,2012,03,22,              2.46
71.29051,-156.78799,2012,03,23,              2.69
71.29051,-156.78799,2012,03,24,              2.77
71.29051,-156.78799,2012,03,25,              2.87
71.29051,-156.78799,2012,03,26,              2.85
71.29051,-156.78799,2012,03,27,              3.11
71.29051,-156.78799,2012,03,28,              3.06
71.29051,-156.78799,2012,03,29,              3.19
71.29051,-156.78799,2012,03,30,              3.26
71.29051,-156.78799,2012,03,31,              3.19
71.29051,-156.78799,2012,04,01,              3.49
71.29051,-156.78799,2012,04,02,              3.00
71.29051,-156.78799,2012,04,03,              3.40
71.29051,-156.78799,2012,04,04,              3.16
71.29051,-156.78799,2012,04,05,              3.29
71.29051,-156.78799,2012,04,06,              1.83
71.29051,-156.78799,2012,04,07,              3.49
71.29051,-156.78799,2012,04,08,              4.09
71.29051,-156.78799,2012,04,09,              3.95
71.29051,-156.78799,2012,04,10,              3.57
71.29051,-156.78799,2012,04,11,              3.89
71.29051,-156.78799,2012,04,12,              4.50
71.29051,-156.78799,2012,04,13,              4.65
71.29051,-156.78799,2012,04,14,              4.64
71.29051,-156.78799,2012,04,15,              4.22
71.29051,-156.78799,2012,04,16,              4.42
71.29051,-156.78799,2012,04,17,              4.43
